player,steam_id,kdr,adr,hs_pct,rating,winrate,kills,mes
JOGod,76561198331541703,N/D,"80
1
DAMAGE
53436
ROUNDS
665","40%
KILLS
492
DEATHS
470
ASSISTS
165
HEADSHOTS
199","1.17
0.02","48%
1
PLAYED
31
WON
15
LOST
16
TIED
0",181,2026-04
ManoShaco,76561198383635477,N/D,"63
DAMAGE
64830
ROUNDS
1027","32%
1
KILLS
557
DEATHS
787
ASSISTS
244
HEADSHOTS
181","0.84
0.01","44%
1
PLAYED
48
WON
21
LOST
26
TIED
1",170,2026-04
Anjoz,76561198144917009,N/D,"81
DAMAGE
21733
ROUNDS
269","33%
KILLS
226
DEATHS
193
ASSISTS
50
HEADSHOTS
75",1.2,"46%
4
PLAYED
13
WON
6
LOST
7
TIED
0",60,2026-04
TioZo,76561198137236044,N/D,"77
1
DAMAGE
78069
ROUNDS
1013","34%
KILLS
696
DEATHS
739
ASSISTS
243
HEADSHOTS
235",1.06,"45%
2
PLAYED
47
WON
21
LOST
25
TIED
1",227,2026-04
MARMOT,76561198126457221,N/D,"81
1
DAMAGE
29081
ROUNDS
357","44%
1
KILLS
264
DEATHS
254
ASSISTS
85
HEADSHOTS
115","1.1
0.03","38%
2
PLAYED
16
WON
6
LOST
10
TIED
0",112,2026-04
Baludinho,76561198359097041,N/D,"84
1
DAMAGE
48321
ROUNDS
572","46%
KILLS
483
DEATHS
401
ASSISTS
113
HEADSHOTS
221","1.21
0.02","42%
2
PLAYED
26
WON
11
LOST
14
TIED
1",184,2026-04
gfelicio,76561198188905417,N/D,"63
DAMAGE
26103
ROUNDS
413","33%
KILLS
225
DEATHS
326
ASSISTS
83
HEADSHOTS
75",0.78,"30%
2
PLAYED
20
WON
6
LOST
14
TIED
0",48,2026-05
wEs,76561199581556353,N/D,"67
22
DAMAGE
3092
ROUNDS
46","50%
6
KILLS
30
DEATHS
30
ASSISTS
9
HEADSHOTS
15","1.1
0.21","50%
50
PLAYED
2
WON
1
LOST
1
TIED
0",14,2026-05
BioAlarcon,76561198195671534,N/D,"65
4
DAMAGE
5659
ROUNDS
87","49%
1
KILLS
51
DEATHS
65
ASSISTS
14
HEADSHOTS
25","0.87
0.03","50%
17
PLAYED
4
WON
2
LOST
2
TIED
0",15,2026-05
JOGod,76561198331541703,N/D,"77
1
DAMAGE
32256
ROUNDS
419","38%
KILLS
306
DEATHS
290
ASSISTS
92
HEADSHOTS
117","1.16
0.01","45%
2
PLAYED
20
WON
9
LOST
11
TIED
0",107,2026-05
ManoShaco,76561198383635477,N/D,"61
DAMAGE
36041
ROUNDS
588","34%
1
KILLS
283
DEATHS
474
ASSISTS
143
HEADSHOTS
96",0.74,"32%
1
PLAYED
28
WON
9
LOST
19
TIED
0",96,2026-05
Anjoz,76561198144917009,N/D,"79
DAMAGE
23591
ROUNDS
298","32%
KILLS
237
DEATHS
223
ASSISTS
50
HEADSHOTS
75",1.1,"33%
3
PLAYED
15
WON
5
LOST
10
TIED
0",67,2026-05
TioZo,76561198137236044,N/D,"81
DAMAGE
42213
ROUNDS
523","36%
KILLS
351
DEATHS
397
ASSISTS
127
HEADSHOTS
125","1.05
0.03","40%
2
PLAYED
25
WON
10
LOST
15
TIED
0",110,2026-05
MARMOT,76561198126457221,N/D,"81
DAMAGE
17051
ROUNDS
211","38%
1
KILLS
145
DEATHS
150
ASSISTS
47
HEADSHOTS
55","1.09
0.01","40%
4
PLAYED
10
WON
4
LOST
6
TIED
0",52,2026-05
Baludinho,76561198359097041,N/D,"92
1
DAMAGE
35037
ROUNDS
382","48%
KILLS
367
DEATHS
260
ASSISTS
67
HEADSHOTS
177","1.39
0.02","44%
3
PLAYED
18
WON
8
LOST
10
TIED
0",145,2026-05
olegar1o,76561198930943564,N/D,"78
3
DAMAGE
33446
ROUNDS
428","48%
KILLS
305
DEATHS
336
ASSISTS
95
HEADSHOTS
147","1.04
0.05","40%
3
PLAYED
20
WON
8
LOST
11
TIED
1",111,2026-05
